127.0.0.1 - - [13/May/2022:23:24:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:19 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/ HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:26 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/adlogin HTTP/1.1" 200 6794
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:26 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/login.css;jsessionid=2A4B4251C52D41ACFEB42BFDE842D765 HTTP/1.1" 200 5551
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:26 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/css/bootstrap.min.css;jsessionid=2A4B4251C52D41ACFEB42BFDE842D765 HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:32 +0700] "POST /Nhom15_DHKTPM15BTT_WWW/admin/adlogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/home-admin HTTP/1.1" 200 25817
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/mdi/css/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/css/vendor.bundle.base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/off-canvas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/hoverable-collapse.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/template.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/file-upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/logo-mini.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face2.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face1.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face3.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/faces/face5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face5.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/js/vendor.bundle.base2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face6.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face4.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/images/faces/face7.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/chart/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/other/navbar-cover.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/mdi/fonts/materialdesignicons-webfont.woff2?v=2.8.94 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:37 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/product/1& HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:37 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/export.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:41 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/product/2& HTTP/1.1" 200 15015
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:47 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/product/3& HTTP/1.1" 200 15158
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:49 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/product/4& HTTP/1.1" 200 12923
0:0:0:0:0:0:0:1 - - [13/May/2022:23:24:53 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/product/2& HTTP/1.1" 200 15015
0:0:0:0:0:0:0:1 - - [13/May/2022:23:35:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/admin/product/2& HTTP/1.1" 200 16332
0:0:0:0:0:0:0:1 - - [13/May/2022:23:35:33 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/favicon.png HTTP/1.1" 304 -
