0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/css/vendor.bundle.base.css HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/css/style.css HTTP/1.1" 200 506978
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/js/jquery.cookie.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/js/vendor.bundle.base2.js HTTP/1.1" 200 89494
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/vendors/vendors/chart/Chart.min.js HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/off-canvas.js HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/template.js HTTP/1.1" 200 3337
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/hoverable-collapse.js HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/dashboard.js HTTP/1.1" 200 16293
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/js/jquery.cookie.js HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/logo.svg HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [10/May/2022:23:58:11 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/assets-admin/images/logo-mini.svg HTTP/1.1" 200 990
