127.0.0.1 - - [11/Apr/2022:14:41:47 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/logo_contact/fb.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/logo_contact/tw.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/js/popper.js;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/bg-img/hinhdemo.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 354849
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/logo_contact/in.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/js/owl.carousel.min.js;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/logo_contact/dr.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 790
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/template/img/core-img/logo.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/template/img/core-img/cart.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/logo_contact/gg.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/template/img/core-img/favorites.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/core-img/logo.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/template/img/core-img/logo2.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/js/jquery.min.js;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 69916
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/logo_contact/hr.png;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/bg-img/shipping.jpg;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 57427
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/images/person-1.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/images/person-2.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:52 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/images/person-3.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [11/Apr/2022:14:41:53 +0700] "GET /Nhom15_DHKTPM15BTT_WWW/assets/img/core-img/favicon.ico;jsessionid=E94F99DA9A9A3815E7044388E81F33D9 HTTP/1.1" 200 1045
